Pilar,Fuente,Dominio,URL,Logo,Aporte
Catálogo Sísmico,USGS — United States Geological Survey,earthquake.usgs.gov,https://earthquake.usgs.gov,https://www.google.com/s2/favicons?domain=earthquake.usgs.gov&sz=128,"Catálogo sísmico en vivo (API FDSNWS) y archivo histórico de 9.968 sismos que alimenta cada alerta, mapa y página de terremotos."
Desaparecidos,Desaparecidos Terremoto Venezuela,desaparecidosterremotovenezuela.com,https://desaparecidosterremotovenezuela.com,https://www.google.com/s2/favicons?domain=desaparecidosterremotovenezuela.com&sz=128,"Registro ciudadano de personas desaparecidas (~48.000 reportes), columna vertebral del expediente Familia."
Desaparecidos,RED Ayuda Venezuela (RAV),redayudavenezuela.com,https://redayudavenezuela.com,https://www.google.com/s2/favicons?domain=redayudavenezuela.com&sz=128,"Personas desaparecidas, balance oficial, información verificada, reportes (hospitales/niños/mascotas) y check-ins «estoy a salvo»."
Desaparecidos,Terremoto Venezuela App,terremotovenezuela.app,https://terremotovenezuela.app,https://www.google.com/s2/favicons?domain=terremotovenezuela.app&sz=128,"Agregador ciudadano de reportes que nutre buena parte de la red de desaparecidos consolidada en SISMO911."
Noticias,YouTube (Google) — Data API v3,youtube.com,https://www.youtube.com,https://www.google.com/s2/favicons?domain=youtube.com&sz=128,"Fuente más confiable de video, miniatura y enlace en vivo para el blog de noticias y los reportes de campo."
Noticias,The GDELT Project,gdeltproject.org,https://www.gdeltproject.org,https://www.google.com/s2/favicons?domain=gdeltproject.org&sz=128,"Monitoreo global y abierto de noticias con imagen y enlace, que amplía la cobertura del terremoto en tiempo real."
Noticias,Efecto Cocuyo,efectococuyo.com,https://efectococuyo.com,https://www.google.com/s2/favicons?domain=efectococuyo.com&sz=128,"Periodismo venezolano independiente vía RSS — titulares verificados que silencian el rumor."
Noticias,Runrun.es,runrun.es,https://runrun.es,https://www.google.com/s2/favicons?domain=runrun.es&sz=128,"Cobertura informativa confiable vía RSS, enlazada a su fuente original en cada artículo del blog."
Noticias,TalCual,talcualdigital.com,https://talcualdigital.com,https://www.google.com/s2/favicons?domain=talcualdigital.com&sz=128,"Medio venezolano independiente vía RSS que aporta contexto verificado a la emergencia."
Noticias,El Pitazo,elpitazo.net,https://elpitazo.net,https://www.google.com/s2/favicons?domain=elpitazo.net&sz=128,"Reportería de campo venezolana vía RSS — voces desde el terreno para la red de emergencia."
Noticias,Crónica Uno,cronica.uno,https://cronica.uno,https://www.google.com/s2/favicons?domain=cronica.uno&sz=128,"Periodismo comunitario vía RSS que documenta el impacto humano del terremoto."
Mapas e Infraestructura,OpenStreetMap · Overpass API,openstreetmap.org,https://www.openstreetmap.org,https://www.google.com/s2/favicons?domain=openstreetmap.org&sz=128,"Cartografía abierta del mundo — hospitales, refugios y vías para el mapa de capas y el comando logístico."
Mapas e Infraestructura,NOAA · National Weather Service,weather.gov,https://www.weather.gov,https://www.google.com/s2/favicons?domain=weather.gov&sz=128,"Datos meteorológicos y de alertas abiertos que refuerzan la conciencia situacional de la respuesta."
Mapas e Infraestructura,FEMA — U.S. Federal Emergency Management Agency,fema.gov,https://www.fema.gov,https://www.google.com/s2/favicons?domain=fema.gov&sz=128,"Marco y referencias abiertas de gestión de emergencias que orientan los protocolos de SISMO911."
